Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Poland,POL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,55.2559948106915,38.6254669379488,30.642796378896,37.2340348170304,27.9783099118872,17.9623566294278,13.661969687921,11.0271242652208,6.16270783307753,6.11487273888849,3.12291428613408,1.84921594735954,0.766547245830935,4.9122324772958,2.56901111008503,1.72568745730248,3.71332653511391,3.87662238924693,3.77123378902394,1.65966092604037,3.22912192023782,2.349719331907,0.289942770233907,0.49955707860417,0.769528695514992,0.30876259197737,1.82910500172827
Poland,POL,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,..,..,..,..,..,..,..,..,..,..,100,102.3798387,104.1731074,103.1185371,105.4322553,103.3116997,102.0712038,102.516092,100.6773532,104.0746925,101.6691414,99.25287964,97.53647392,98.31043291,98.382004,99.99153392,100.3018998,98.77538126
Romania,ROU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,14.72865,..,..,..,8.18758,9.84882,10.92235,11.13906,9.84331,10.83668,12.71962,12.00496,11.61622,11.02129,9.12913,8.32978,8.43579,..,9.25695,9.09451,9.51059,..
Romania,ROU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,13313.8142074715,11695.0619166883,10766.5629381432,10946.0543125083,11392.9978992407,12127.6935308597,12637.9689702089,12059.8159580382,11839.5043488461,11813.4396143244,12119.8773119662,12931.5059443135,13921.5251552939,14350.5815269961,15937.628585249,16784.9535831296,18240.3225003864,19850.8788145085,22063.1022183805,21020.1832152419,20320.4737898523,20830.5442910639,21358.0992860413,22190.9882105253,23033.9987816552,24038.4935121247,25337.2100200108,27298.3547176622
Romania,ROU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5270.67049486594,4786.40896134034,4506.82241021923,4690.51587651805,4986.28654816472,5419.13153288989,5735.27319678224,5562.20200458605,5544.23560139863,5596.49311641832,5850.31446446796,6521.48350836744,7162.31356960316,7551.72668715016,8982.16838779561,9602.12691658258,11542.7673516263,13685.8528378232,16782.1819976766,16647.8199172913,16979.1181543581,17907.5841692863,18931.537401015,19797.4111206535,20623.3090556572,21631.6519708325,24315.9105225686,27298.3547176622
Romania,ROU,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,308904920462.41,268999931880.345,245416093315.911,249168099210.833,258965246172.298,275107874531.275,285858270689.031,271996823801.643,266475797168.976,265472087550.683,272006055036.014,286199701614.369,302521646701.014,309604124152.992,341889992128.358,357849923131.944,386581017395.789,414545544967.562,453129235473.321,428128308374.057,411426011482.021,419683974359.45,428401503012.891,443457895765.757,458583398029.999,476337556654.754,499205569628.542,534706277347.015
Romania,ROU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,122289227161.248,110092934413.178,102729789956.102,106771526241.626,113339345346.246,122929042857.588,129726167379.11,125449781642.99,124786017897.726,125764617171.877,131298437866.935,144333277362.683,155640626375.007,162923413411.478,192683212748.558,204714321191.562,244634640986.204,285801418466.91,344670356095.532,339074255743.772,343774014965.047,360793553463.052,379729439793.368,395625386029.925,410589026899.589,428644508899.66,479083448961.771,534706277347.015
Romania,ROU,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,195.003978595175,199.858895609549,227.308735779621,139.023070589532,43.9334732007336,44.0022839129308,135.338399472194,48.1345197660485,49.5224630026867,43.1807891473077,37.9563154083491,22.7142690496692,23.1532554708977,15.4565958769332,12.0069901176313,10.6065793571017,15.8162274724437,16.0155798889218,4.08677823184489,3.54069942227548,3.78492476541541,4.00827052512503,3.39224678389594,1.74338842066166,2.60817055509601,2.45550906363117,4.6791855192658
Romania,ROU,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,..,..,..,..,..,..,..,..,..,..,100,100.3833241,102.5362182,103.7093282,107.1892846,106.9707949,108.0937846,107.6302992,106.8060982,107.7232239,108.5192108,109.2912302,108.727893,108.0154235,107.4959736,109.513829,109.6780887,107.2823363
Estonia,EST,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,19.68368,17.69421,16.02168,16.35712,14.6785,14.94748,15.14523,15.04903,14.30608,14.2577,..,13.68231,13.87971,12.93009,13.64279,13.4062,11.9912,12.58262,14.26602,12.9666,13.10831,..
