year,country,eci,eci_norm,population,gdp_pc,gdp,inflation,economic_freedom,gross_fix_cap,trade_openness,fdi,human_capital,private_sec_cred,rule_of_law,fdi_gdp
2012,Hungary,1.52192,0.9062244681652752,9920362,24769.1084232477,229637808205.604,3.20071108568609,67.1,25398926925.9422,165.870140422554,10815928328.3018,3.305800437927246,55.25253,0.6152842,0.04709994583565204
2013,Hungary,1.43941,0.8614917449665521,9893082,25324.9631779843,242362495294.426,2.97854923817167,67.3,27887786475.763,164.177266887875,-3586600504.51759,3.3214809894561768,47.55714,0.5826928,-0.01479849636042296
2014,Hungary,1.38229,0.8305241877115398,9866468,26458.5440412536,252630796804.085,3.59043028029025,67,31304274799.5494,168.489687837063,13060104658.7999,3.337235927581787,43.19698,0.5019311,0.0516964076589918
2015,Hungary,1.35493,0.8156909880179625,9843028,27541.4534992241,262494273040.165,2.45562579310685,66.8,32794133967.1947,167.971261574318,-5266437314.96472,3.3530654907226562,38.41927,0.399936,-0.020063056058213076
2016,Hungary,1.37204,0.8249671593175644,9814023,28230.5536832764,271844815110.907,0.972844703647894,66,29331765900.4404,165.55546947433,69681210262.328,3.3689701557159424,34.2699,0.4230584,0.256327163105537
2017,Hungary,1.38444,0.8316898083014955,9787966,29529.3092284512,289031874731.567,3.70423008762573,65.8,34811057107.5076,166.997293513535,-12174325328.2763,3.3849503993988037,32.40913,0.529677,-0.042121047512780306
1996,Latvia,0.247579,0.2153416271304427,2457222,9844.08826745035,14192922395.2723,12.4041516756555,55,1829107568.81638,90.1895864766521,331352000,2.7420589923858643,6.701235,0.1336678,0.023346284209260118
1997,Latvia,0.24158,0.21208927460991017,2432851,10831.5038347892,15730664530.2207,5.88444886338617,62.4,1923027952.42946,88.7049822273747,474354000,2.7637720108032227,8.087271,1.068723,0.030154733710626328
1998,Latvia,0.265352,0.22497724329104027,2410019,11630.0937694402,16985720475.9086,4.80915552039318,63.4,2749558134.41843,90.8119980545354,371400000,2.7856574058532715,11.57033,0.2915803,0.021865425168556652
1999,Latvia,0.314476,0.25160977624964015,2390482,12056.7074151012,17666600811.7094,1.49805296373395,64.2,2873162324.48684,80.0323155562627,348100000,2.807715654373169,14.20646,1.258094,0.019703847033736097
2000,Latvia,0.181396,0.17946057247693292,2367550,12854.6190222309,18981986127.8214,3.59261670483177,63.4,3507786907.26949,81.7895291811859,324184857.470559,2.829948902130127,16.4759,0.1973373,0.017078553070661546
2001,Latvia,0.174325,0.1756270361087573,2337170,13844.5614218374,21077692575.5144,2.28525016313297,66.4,4185328368.911,86.6549184933545,173500715.825038,2.856259346008301,21.82032,1.035779,0.00823148526355256
2002,Latvia,0.180464,0.17895528950491485,2310173,15003.0381904872,23223235583.3829,5.09526441536605,65,4021766733.24206,83.4428048862976,160090702.160429,2.882814407348633,27.48819,0.3415674,0.006893557169741668
2003,Latvia,0.311667,0.2500868793951351,2287955,16426.7355786572,25192922036.7631,4.94317949237322,66,4457576974.80696,84.901627499935,316652176.393834,2.909616708755493,33.18302,0.5957193,0.012569092855991662
2004,Latvia,0.309156,0.248725542975889,2263122,17992.2326391757,27608294804.0511,6.77512095264564,67.4,5721350112.8927,93.8306150698804,591589970.743147,2.9366676807403564,41.10259,0.5873426,0.021427979342510502
2005,Latvia,0.427594,0.3129365994564413,2238799,20141.6804897106,30977938494.0902,11.1798415734485,66.3,6916802587.96935,100.911709383517,809856372.419331,2.963970422744751,52.08829,0.6184816,0.02614300407930085
2006,Latvia,0.532376,0.3697440676688835,2218357,22743.8118753791,34922333588.0264,12.444787546476,66.9,7908207066.60943,100.666502317753,1705667383.81543,2.976945638656616,66.21224,0.669318,0.04884173560498378
2007,Latvia,0.549968,0.37928155484028014,2200325,25225.7092426211,39883039015.2438,20.1254224683739,67.9,9676620770.56508,95.9336265490262,2713412662.12004,2.9899778366088867,71.66711,0.7592566,0.06803425037602925
2008,Latvia,0.61794,0.4161325142544555,2177322,24639.1510842382,42383912499.5656,11.7252890427402,68.3,8690748948.43743,91.8414666906784,1434273758.18365,3.0030670166015625,83.37827,0.8092072,0.0338400509438186
2009,Latvia,0.60544,0.4093556503593635,2141669,21482.7665110286,36273304547.5848,-9.72989880514285,66.6,5685845974.4379,86.558344132968,-150022148.439267,3.0162134170532227,88.95,0.8143532,-0.004135883132524136
2010,Latvia,0.626987,0.42103733726716724,2097555,20953.3435954749,36917843177.9469,-0.404400309513321,66.2,4564055412.75163,108.611860797648,474983591.197691,3.0294175148010254,94.49743,0.7878038,0.012865962643273414
2011,Latvia,0.600318,0.40657876260971065,2059709,22679.4901359437,40760565612.312,6.40387885921361,65.8,5649828776.9452,120.513024436613,1519518896.45563,3.0429294109344482,82.32437,0.7470232,0.03727914158278141
2012,Latvia,0.571625,0.39102287815036074,2034319,23911.8740857683,43313156236.3567,3.61925477030422,65.2,6562248213.10412,126.836575855787,1080778947.54653,3.056586265563965,69.1521,0.7854767,0.024952671231087364
2013,Latvia,0.478137,0.34033844200441205,2012647,24732.0185871891,45672616675.1123,1.63771670832742,66.5,6173356257.86144,124.06855181813,989283879.359479,3.0703907012939453,60.26707,0.7678499,0.02166032847201756
2014,Latvia,0.431584,0.31509977441175463,1993782,25444.1779182729,47540328804.5663,1.78329014938781,68.7,6153799987.64646,124.440274072652,1041084910.43514,3.084343910217285,54.19073,0.8723829,0.021898984222741485
2015,Latvia,0.629273,0.4222766901363017,1977527,26489.7584963771,49103820599.6763,0.00222370976850073,69.7,6079125547.14817,122.348891193996,812843819.517903,3.0984487533569336,49.72129,0.7945901,0.01655357586418156
2016,Latvia,0.649569,0.43328014850548463,1959537,27207.1457853837,51740645049.4547,0.85846588403848,70.4,5582648622.65833,119.820779122675,333187719.940926,3.112706422805786,47.20883,0.9589826,0.0064395741418078346
2017,Latvia,0.653054,0.4351695381594363,1942248,28488.92360721,55332554898.2565,2.98059379963252,74.8,6214778130.25225,124.09665736778,1136438829.79794,3.127119541168213,43.12444,0.9313785,0.020538340076426666
